license,count_listings,closest_commprop_idx,closest_commprop_dist_ft,commercial_props,resi/condo_props,agr/ind/TE_props,n_props_searched,accommodations,geometry,violator_prob_rating,license_num,license_number_official,license_status_active,license_status,license_category,license_active,license_max_bedrooms,license_max_guests,exceeds_max_guests,exceeds_max_rooms,avg_distance_ft,dispersal_factor,centroid_confidence,max_distance_ft,zoom_factor,marker_radius,best_guess_prop_adrs,best_guess_prop_unit_n,best_guess_prop_num_floors,best_guess_prop_own_occ,best_guess_prop_lu
Str-414419,4.0,23021.0,123.0,6.0,41.0,3.0,50.0,14,POINT (42.3183875 -71.05741),73.0,414419,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,0.0,548.9531560014974,2.3098331036929007,33.0,1097.1216507372528,3.0013564089535603,6.437751649736401,"959 A951 Dorchester Av, Dorchester",3,1.0,0,Commercial
STR-384761,2.0,47025.0,336.0,1.0,96.0,3.0,100.0,4,POINT (42.283615 -71.07013999999998),73.0,384761,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,394.914437808259,1.9811981217680685,37.0,394.9156063176626,1.9812010731827376,4.394449154672439,"790 A798 Washington St, Dorchester",6,1.0,0,Commercial
str-414293,2.0,21254.0,574.0,1.0,175.0,24.0,200.0,4,POINT (42.315805 -71.073425),72.0,414293,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,206.02791239115516,1.3328536266442894,44.0,206.0279355484664,1.332853738500269,4.394449154672439,"164 -170 Howard Av, Roxbury",1,2.0,0,Mixed use (Residential and Commercial)
STR-414138,2.0,13594.0,364.0,1.0,146.0,3.0,150.0,2,POINT (42.31534500000001 -71.10107500000001),72.0,414138,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,332.13617080956107,1.8085513277449277,39.0,332.13617805036097,1.808551349480183,4.394449154672439,"100 School St, Jamaica Plain",1,1.0,0,Commercial
STR-414615,2.0,107136.0,974.0,1.0,248.0,1.0,250.0,10,POINT (42.348535 -71.17163500000001),72.0,414615,True,True,Inactive,Home Share Unit,False,5,10,0.0,0.0,28.443260951112915,-0.6175349462709483,64.0,28.4432620755674,0.0,4.394449154672439,"106 Tremont St, Brighton",57,3.0,0,Mixed use (Residential and Commercial)
STR-398049,3.0,36285.0,378.0,2.0,97.0,1.0,100.0,9,POINT (42.28865666666667 -71.06818666666668),72.0,398049,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,310.3507198636667,1.740919993387947,39.0,465.08219944791546,2.1443620122351676,5.545177444479562,"450 Talbot Av, Dorchester",5,1.0,0,Commercial
STR-415234,2.0,12157.0,393.0,1.0,148.0,1.0,150.0,9,POINT (42.379345 -71.03116000000001),72.0,415234,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,285.1381220921968,1.65647463861806,40.0,285.13872635068856,1.656476750387891,4.394449154672439,"300 302 Saratoga St, East Boston",6,3.0,0,Mixed use (Residential and Commercial)
STR-416301,2.0,63783.0,501.0,1.0,148.0,1.0,150.0,4,POINT (42.31279 -71.108575),72.0,416301,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,213.028105232296,1.366107339259643,43.0,213.02841311800333,1.3661087777879404,4.394449154672439,"92 A98 Green St, Jamaica Plain",3,2.0,0,Commercial
STR-415069,2.0,64274.0,684.0,7.0,487.0,6.0,500.0,5,POINT (42.317795 -71.10978499999999),72.0,415069,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,148.51962875233295,1.0074276802144029,47.0,148.51969221526497,1.0074281046598017,4.394449154672439,"470 Centre St, Jamaica Plain",3,2.0,0,Mixed use (Residential and Commercial)
STR-400257,4.0,798.0,234.0,6.0,38.0,6.0,50.0,16,POINT (42.3318275 -71.1017425),72.0,400257,True,True,Active,Home Share Unit,True,5,10,1.0,0.0,220.25646483078398,1.3993225030353207,43.0,326.53234853665276,1.7915868243551794,6.437751649736401,"Pontiac St, Mission Hill",21,,0,Mixed use (Residential and Commercial)
STR-403450,2.0,160308.0,385.0,1.0,249.0,0.0,250.0,4,POINT (42.333105 -71.04792499999999),71.0,403450,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,279.97716568370095,1.6382734051198025,40.0,279.9776849536529,1.6382752532040445,4.394449154672439,"146 A146 Dorchester St, South Boston",2,3.0,0,Mixed use (Residential and Commercial)
STR-404352,3.0,1541.0,466.0,2.0,144.0,4.0,150.0,5,POINT (42.38133 -71.02889666666665),71.0,404352,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,221.0533979027093,1.4029178840425987,43.0,283.66309268586264,1.6513063500739502,5.545177444479562,"27 Shelby St, East Boston",2,1.0,0,Commercial
STR-405820,3.0,33744.0,361.0,1.0,144.0,5.0,150.0,6,POINT (42.31263666666666 -71.06322),71.0,405820,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,292.4396325355934,1.6816719368031166,40.0,354.77382196373384,1.8742951973808637,5.545177444479562,"93 97 Hancock St, Dorchester",5,3.0,0,Mixed use (Residential and Commercial)
STR-409781,3.0,27533.0,346.0,1.0,46.0,3.0,50.0,6,POINT (42.29251666666667 -71.07948),71.0,409781,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,308.1320252111325,1.7337684517010414,39.0,398.34614239291676,1.9898285656019983,5.545177444479562,"Helen St, Mattapan",1,1.0,0,Commercial
STR-396518,3.0,89272.0,577.0,4.0,632.0,14.0,650.0,3,POINT (42.38220666666666 -71.06895000000002),71.0,396518,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,158.99371456277206,1.0751345304795166,46.0,237.93219478943266,1.476179807870066,5.545177444479562,"331 Bunker Hill St, Charlestown",1,3.0,0,Mixed use (Residential and Commercial)
STR-398048,3.0,6884.0,128.0,2.0,48.0,0.0,50.0,28,POINT (42.37893 -71.03481333333333),71.0,398048,True,True,Active,Home Share Unit,True,5,10,1.0,0.0,373.9202577288983,1.926713357301761,37.0,454.5633548294315,2.121534795566917,5.545177444479562,"153 Brooks St, East Boston",7,3.0,0,Mixed use (Residential and Commercial)
STR-418952,5.0,33571.0,263.0,2.0,46.0,2.0,50.0,10,POINT (42.312302 -71.06742200000001),70.0,418952,True,True,Active,STRLH,True,5,10,0.0,0.0,381.2560015579893,1.946090545295439,37.0,523.8049162300935,2.263026605402491,7.16703787691222,"445 451 Columbia Rd, Dorchester",3,1.0,0,Commercial
STR-411741,3.0,12292.0,372.0,1.0,124.0,25.0,150.0,8,POINT (42.32708333333333 -71.09438),70.0,411741,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,251.77326376683482,1.5324928962636735,41.0,403.36672273785325,2.0023221957729698,5.545177444479562,"83 -85 Highland St, Roxbury",3,3.0,0,Mixed use (Residential and Commercial)
STR-101772,3.0,134365.0,135.0,7.0,42.0,1.0,50.0,4,POINT (42.34909 -71.06943),70.0,101772,False,False,not found,not found,False,5,10,0.0,0.0,271.9110689614065,1.6091459873952427,41.0,387.8095967838051,1.9630897553675801,5.545177444479562,"138 Arlington St, Bay Village",1,1.0,0,Commercial
STR-416758,3.0,92467.0,151.0,10.0,40.0,0.0,50.0,16,POINT (42.37586666666667 -71.05006333333333),70.0,416758,True,True,Inactive,Owner-Adjacent Unit,False,5,10,1.0,0.0,98.58242583279996,0.6009857015600195,51.0,147.8735233335348,1.0030971087919127,5.545177444479562,"Thirteenth St, Charlestown",11,,0,Commercial
STR-415303,3.0,31650.0,364.0,1.0,95.0,4.0,100.0,6,POINT (42.30115666666666 -71.06957666666666),70.0,415303,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,253.27762362325112,1.5384266765127057,41.0,378.20199858064296,1.9380690408855505,5.545177444479562,"385 385a Geneva Av, Dorchester",2,1.0,0,Commercial
STR-416649,3.0,154772.0,203.0,2.0,97.0,1.0,100.0,9,POINT (42.3363 -71.04467666666667),70.0,416649,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,192.0282090533733,1.262836339122729,44.0,270.6981483829894,1.6046917014771314,5.545177444479562,"78 Dorchester St, South Boston",17,1.0,0,Commercial
STR-420519,2.0,43253.0,343.0,4.0,83.0,13.0,100.0,8,POINT (42.289385 -71.07720499999999),70.0,420519,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,267.1546284274989,1.5915637858710552,41.0,267.15494111042284,1.5915649519249229,4.394449154672439,"200 New England Av, Dorchester",1,1.0,0,Commercial
STR-396781,3.0,25198.0,872.0,1.0,146.0,3.0,150.0,8,POINT (42.30887999999999 -71.04664),70.0,396781,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,84.26608749815708,0.4457768080160003,53.0,126.3751191888525,0.8471364272743651,5.545177444479562,"400 Wm T Morrissey Bl, Dorchester",2,2.0,0,Commercial
STR-397983,3.0,37067.0,370.0,1.0,98.0,1.0,100.0,7,POINT (42.29264999999999 -71.05601),70.0,397983,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,230.9957510982642,1.4467190572669821,42.0,318.07386621336195,1.7654226315077812,5.545177444479562,"502 Adams St, Dorchester",5,2.5,1,Mixed use (Residential and Commercial)
STR-402988,2.0,13400.0,365.0,1.0,96.0,3.0,100.0,3,POINT (42.31793500000001 -71.100515),70.0,402988,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,238.02364098506155,1.4765624632951084,42.0,238.02394497255008,1.476563735082677,4.394449154672439,"107 113 W Walnut Pk, Jamaica Plain",16,3.0,0,Mixed use (Residential and Commercial)
STR-918313,47.0,93778.0,15.0,9.0,39.0,2.0,50.0,124,POINT (42.34367425531914 -71.10187914893618),69.0,918313,False,False,not found,not found,False,5,10,1.0,1.0,327.27343549183234,1.7938469058874924,39.0,530.6880054623593,2.276056861411301,15.484804043631565,"1393 1399 Boylston St, Fenway",386,30.0,0,Mixed use (Residential and Commercial)
STR-397989,2.0,161072.0,448.0,1.0,96.0,3.0,100.0,4,POINT (42.33277 -71.04550499999999),69.0,397989,True,True,Inactive,Limited Share Unit,False,3,6,0.0,0.0,48.85960443265025,-0.09078885549702465,59.0,48.859624241277395,0.0,4.394449154672439,"388 E Eighth St, South Boston",11,3.0,0,Commercial
STR-400320,4.0,11049.0,76.0,11.0,37.0,2.0,50.0,8,POINT (42.3759925 -71.03719249999999),68.0,400320,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,248.85717311998638,1.5208894470838672,42.0,382.3862262546685,1.9490429047045277,6.437751649736401,"52 54 Bennington St, East Boston",6,1.0,0,Commercial
STR-416294,5.0,38750.0,87.0,2.0,48.0,0.0,50.0,10,POINT (42.28719 -71.054692),68.0,416294,True,True,Inactive,Owner-Adjacent Unit,False,5,10,0.0,0.0,293.056694640127,1.6837725876596448,40.0,433.0441299847821,2.073146210923727,7.16703787691222,"671 Adams St, Dorchester",1,,0,Commercial condominium
STR-398358,3.0,13345.0,485.0,1.0,196.0,3.0,200.0,6,POINT (42.31714333333333 -71.10031333333335),68.0,398358,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,134.19479673195443,0.9067166771578732,48.0,190.72878712887305,1.2560818063773285,5.545177444479562,"1901 Columbus Av, Jamaica Plain",4,3.0,0,Mixed use (Residential and Commercial)
STR-413500,2.0,150332.0,198.0,1.0,98.0,1.0,100.0,4,POINT (42.33672 -71.05136),68.0,413500,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,376.1561413598408,1.9326592697673304,37.0,376.1561622772734,1.932659325228265,4.394449154672439,"209 W Fifth St, South Boston",5,3.0,0,Mixed use (Residential and Commercial)
LB-390690,9.0,121525.0,29.0,30.0,13.0,7.0,50.0,28,POINT (42.35523888888888 -71.06181777777778),68.0,390690,False,False,not found,not found,False,5,10,1.0,1.0,281.6723700370599,1.6442885239381404,40.0,503.8119506854149,2.224185985046251,9.210340371976184,"44 46 Temple Pl, Downtown",11,5.0,0,Commercial
STR-386945,2.0,36285.0,361.0,1.0,48.0,1.0,50.0,3,POINT (42.28855 -71.067915),68.0,386945,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,183.41173377704422,1.2171709412946035,45.0,183.41187198688883,1.21717169075772,4.394449154672439,"450 Talbot Av, Dorchester",5,1.0,0,Commercial
STR-397969,2.0,22641.0,206.0,2.0,46.0,2.0,50.0,6,POINT (42.314575 -71.06458000000001),68.0,397969,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,359.5741844845535,1.8876977177587824,38.0,359.5752348385049,1.8877006307582889,4.394449154672439,"40 Hancock St, Dorchester",1,,0,Commercial condominium
Lb-101772,5.0,135324.0,138.0,1.0,48.0,1.0,50.0,8,POINT (42.348916 -71.07030399999999),67.0,101772,False,False,not found,not found,False,5,10,0.0,0.0,148.17541069028798,1.0051228664815337,47.0,297.17835670335165,1.6976918198956295,7.16703787691222,"172 Columbus Av, Bay Village",6,5.0,0,Commercial
STR-414680,3.0,9018.0,162.0,1.0,49.0,0.0,50.0,24,POINT (42.36693666666667 -71.03801333333332),67.0,414680,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,170.72894334687388,1.1459173229859472,46.0,219.19560815414113,1.3945162792855976,5.545177444479562,"Marginal St, East Boston",21,,0,Mixed use (Residential and Commercial)
STR-383164,2.0,24988.0,241.0,6.0,92.0,2.0,100.0,5,POINT (42.320245 -71.05557999999999),67.0,383164,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,286.1541785409108,1.6600192789749704,40.0,286.1542049607956,1.660019370980888,4.394449154672439,"894 Dorchester Av, Dorchester",1,1.0,0,Commercial
STR-398979,2.0,22027.0,308.0,2.0,42.0,6.0,50.0,4,POINT (42.31595 -71.067485),67.0,398979,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,207.60001693153438,1.3404186237341396,43.0,207.60037502379387,1.3404203403780661,4.394449154672439,"Arion St, Dorchester",11,1.0,0,Commercial
STR-411054,2.0,154408.0,418.0,2.0,196.0,2.0,200.0,6,POINT (42.34082 -71.05070000000001),67.0,411054,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,139.81120025465975,0.9474199878234346,48.0,139.81134631844378,0.9474210251252115,4.394449154672439,"204 W First St, South Boston Waterfront",1,2.0,0,Commercial
STR-420772,9.0,129196.0,49.0,2.0,48.0,0.0,50.0,18,POINT (42.34498666666666 -71.08054222222222),67.0,420772,True,True,Active,STRLH,True,5,10,1.0,1.0,259.21003964333363,1.5614891496666141,41.0,426.0065165256508,2.0567992742963677,9.210340371976184,"96 St Botolph St, Back Bay",14,3.0,0,Mixed use (Residential and Commercial)
STR-409266,6.0,167020.0,90.0,2.0,47.0,1.0,50.0,15,POINT (42.33716500000001 -71.07600666666666),67.0,409266,True,True,Active,Home Share Unit,True,5,10,1.0,1.0,129.2174774421969,0.8692059561128449,48.0,387.6524783529073,1.9626855724805647,7.783640596221253,"1718 1716 Washington St, South End",4,1.0,0,Commercial
STR-413155,2.0,26152.0,106.0,5.0,41.0,4.0,50.0,3,POINT (42.306315 -71.08233),67.0,413155,True,True,Void,Home Share Unit,False,5,10,0.0,0.0,210.35798007084964,1.3535532839098856,43.0,210.35819138566268,1.353554283705149,4.394449154672439,"190 Normandy St, Roxbury",9,3.0,0,Mixed use (Residential and Commercial)
STR-398579,3.0,104621.0,136.0,11.0,37.0,2.0,50.0,23,POINT (42.35441666666667 -71.13817),67.0,398579,True,True,Active,Home Share Unit,True,5,10,1.0,0.0,235.1666479470074,1.46453769119801,42.0,352.6957587361864,1.8684371050063389,5.545177444479562,"15 N Beacon St, Allston",1,,0,Commercial condominium
STR-401632,2.0,53122.0,233.0,2.0,48.0,0.0,50.0,5,POINT (42.27883 -71.134855),67.0,401632,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,266.3963654649208,1.5887320724472742,41.0,266.3965095431723,1.5887326112661642,4.394449154672439,"4456 4458 Washington St, Roslindale",3,1.0,0,Commercial
STR-398126,3.0,66272.0,432.0,1.0,248.0,1.0,250.0,8,POINT (42.30857 -71.11724),66.0,398126,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,120.27918699433424,0.7980952183288341,49.0,312.07465058973673,1.74644166239018,5.545177444479562,"793 Centre St, Jamaica Plain",1,2.0,0,Commercial
STR-411261,2.0,104092.0,143.0,3.0,45.0,2.0,50.0,22,POINT (42.35907 -71.13295500000001),66.0,411261,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,181.68373517048337,1.2077564346289194,45.0,181.6839803314139,1.2077577766245042,4.394449154672439,"101 A99 Franklin St, Allston",8,1.0,0,Mixed use (Residential and Commercial)
str-413447,2.0,36056.0,206.0,1.0,48.0,1.0,50.0,4,POINT (42.2926 -71.06375),66.0,413447,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,284.3730833064542,1.6537973884242652,40.0,284.3731012682881,1.6537974513658478,4.394449154672439,"7 Centre Av, Dorchester",2,,1,Mixed use (Residential and Commercial)
STR-408224,4.0,126915.0,135.0,1.0,149.0,0.0,150.0,6,POINT (42.3456425 -71.07341750000001),66.0,408224,True,True,Active,Limited Share Unit,True,3,6,0.0,1.0,182.5691239812852,1.2125912940076509,45.0,340.8213362110159,1.8342881918198977,6.437751649736401,"48 A48b Clarendon St, South End",8,3.0,0,Mixed use (Residential and Commercial)
STR-415049,3.0,7075.0,238.0,1.0,49.0,0.0,50.0,10,POINT (42.38009666666667 -71.03082999999999),66.0,415049,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,230.1837188220418,1.4432127139987072,42.0,337.9205480226088,1.8257657082964078,5.545177444479562,"213 215 Trenton St, East Boston",5,3.0,0,Mixed use (Residential and Commercial)
STR-415861,2.0,86.0,153.0,11.0,37.0,2.0,50.0,4,POINT (42.33385 -71.10120499999999),66.0,415861,True,True,Void,Limited Share Unit,False,3,6,0.0,0.0,138.54466418009866,0.938384723350917,48.0,138.54466842502,0.9383847537707206,4.394449154672439,"1575 Tremont St, Mission Hill",152,14.0,0,Mixed use (Residential and Commercial)
str-413946,2.0,165258.0,323.0,2.0,44.0,4.0,50.0,4,POINT (42.322275 -71.06921999999999),66.0,413946,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,163.98646907450114,1.105863464928853,46.0,163.9865516876131,1.1058639656553169,4.394449154672439,"61 Burrell St, Roxbury",1,1.0,0,Commercial
STR-387480,5.0,106794.0,333.0,1.0,49.0,0.0,50.0,10,POINT (42.354024 -71.16775800000001),66.0,387480,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,22.777534678426342,-0.8312587861711309,66.0,56.85462471814,0.05793339371388306,7.16703787691222,"10 Bellamy St, Brighton",1,3.0,0,Commercial
STR409469,4.0,33300.0,319.0,4.0,41.0,5.0,50.0,8,POINT (42.30866 -71.07255500000002),65.0,409469,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,160.26653015523777,1.0830584630124473,46.0,259.1823265024867,1.561382641029378,6.437751649736401,"34 36 Westwood St, Dorchester",2,2.0,0,Commercial
STR-413793,2.0,103403.0,170.0,4.0,44.0,2.0,50.0,4,POINT (42.35878 -71.141845),65.0,413793,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,338.928680668981,1.8287358328686354,38.0,338.9287082135396,1.8287359138990373,4.394449154672439,"106 Lincoln St, Brighton",1,1.0,0,Commercial
Lb-101723,2.0,135325.0,118.0,6.0,42.0,2.0,50.0,4,POINT (42.34925 -71.070035),65.0,101723,False,False,not found,not found,False,5,10,0.0,0.0,148.04855481945407,1.0042721241324521,47.0,148.04860129293573,1.0042724359333581,4.394449154672439,"130 Columbus Av, Bay Village",2,5.0,0,Commercial
STR-409264,2.0,15433.0,730.0,1.0,323.0,26.0,350.0,4,POINT (42.307195 -71.11126),64.0,409264,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,49.86330173662474,-0.07085832397263925,58.0,49.863302573360976,0.0,4.394449154672439,"3521 -3549 Washington St, Jamaica Plain",8,4.0,0,Commercial
STR-416111,2.0,23155.0,144.0,2.0,48.0,0.0,50.0,8,POINT (42.31568 -71.057525),64.0,416111,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,132.43866330687035,0.89364192137554,48.0,132.43871472153378,0.8936423066810599,4.394449154672439,"1029 1027 Dorchester Av, Dorchester",5,3.0,0,Mixed use (Residential and Commercial)
STR-399036,3.0,50652.0,150.0,1.0,49.0,0.0,50.0,6,POINT (42.27542666666667 -71.09442),64.0,399036,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,303.9813506069273,1.7202506291868884,39.0,368.0667364248742,1.910977485207762,5.545177444479562,"1419 1435 Blue Hill Av, Mattapan",3,1.0,0,Commercial
STR-398232,3.0,72053.0,218.0,5.0,44.0,1.0,50.0,3,POINT (42.27963333333333 -71.13621333333333),63.0,398232,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,190.61793139865293,1.2555034488333483,44.0,276.5946387303532,1.6261619155151479,5.545177444479562,"4467 Washington St, Roslindale",4,3.0,0,Mixed use (Residential and Commercial)
STR-415050,6.0,163624.0,87.0,4.0,45.0,1.0,50.0,13,POINT (42.322325 -71.06056666666666),62.0,415050,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,76.03450688361096,0.3442534628139384,54.0,214.20960533368202,1.3716124617417371,7.783640596221253,"226 224 Boston St, Dorchester",8,3.0,0,Mixed use (Residential and Commercial)
STR-389183,2.0,17536.0,884.0,1.0,484.0,15.0,500.0,14,POINT (42.298345 -71.11043000000001),61.0,389183,True,True,Active,Home Share Unit,True,5,10,1.0,0.0,9.785626091099198,-1.6217856698179465,75.0,9.785626888592706,0.0,4.394449154672439,"10 Tower St, Jamaica Plain",1,2.0,0,Mixed use (Residential and Commercial)
STR-383981,2.0,127586.0,316.0,4.0,195.0,1.0,200.0,4,POINT (42.34343 -71.07517999999999),61.0,383981,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,91.85720575297958,0.5310628911739199,52.0,91.85724692600307,0.5310633345753129,4.394449154672439,"627 627a Tremont St, South End",19,3.5,0,Mixed use (Residential and Commercial)
STR-383107,3.0,89851.0,99.0,1.0,49.0,0.0,50.0,8,POINT (42.38303999999999 -71.07836333333333),61.0,383107,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,137.54027640202378,0.9311610876987473,48.0,200.74659644085773,1.3070124368261329,5.545177444479562,"89 Cambridge St, Charlestown",1,2.0,0,Commercial
STR-387698,2.0,135324.0,160.0,1.0,48.0,1.0,50.0,10,POINT (42.348775 -71.07070999999999),61.0,387698,False,False,not found,not found,False,5,10,0.0,0.0,56.55221410585169,0.05269260716200819,57.0,56.55221471463184,0.05269261773988365,4.394449154672439,"172 Columbus Av, Bay Village",6,5.0,0,Commercial
LB-101773,5.0,134365.0,41.0,4.0,44.0,2.0,50.0,7,POINT (42.34871800000001 -71.06942599999999),61.0,101773,False,False,not found,not found,False,5,10,0.0,0.0,283.5043323703718,1.6507484814658069,40.0,486.25131159820785,2.1887800302223397,7.16703787691222,"138 Arlington St, Bay Village",1,1.0,0,Commercial
STR-418364,2.0,159277.0,113.0,5.0,45.0,0.0,50.0,8,POINT (42.332515 -71.050775),61.0,418364,True,True,Void,STRBB,False,5,10,0.0,0.0,87.50274157556672,0.48303352978905867,53.0,87.50277767190883,0.48303393764461333,4.394449154672439,"256 236 Dorchester St, South Boston",5,1.0,0,Commercial
STR-398568,2.0,51109.0,127.0,2.0,48.0,0.0,50.0,4,POINT (42.27196 -71.10755),60.0,398568,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,247.71943803429707,1.5163255063168473,42.0,247.7199469961554,1.5163275526439923,4.394449154672439,"601 Cummins Hw, Hyde Park",2,1.0,0,Commercial
STR-414387,5.0,128244.0,52.0,8.0,42.0,0.0,50.0,10,POINT (42.34185599999999 -71.07585400000001),60.0,414387,True,True,Void,STRLH,False,5,10,0.0,0.0,218.8551623227773,1.392968976464525,43.0,342.64115401937534,1.8395979559861217,7.16703787691222,"665 665a Tremont St, South End",8,4.0,0,Mixed use (Residential and Commercial)
STR-398959,3.0,10218.0,121.0,6.0,42.0,2.0,50.0,6,POINT (42.36875333333333 -71.03847),60.0,398959,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,275.49909448951877,1.622207546054744,41.0,328.5772032178029,1.7978106306487778,5.545177444479562,"10 Bremen St, East Boston",1,2.0,0,Mixed use (Residential and Commercial)
STR-414143,4.0,170142.0,37.0,5.0,42.0,3.0,50.0,11,POINT (42.3372125 -71.07823249999998),60.0,414143,True,True,Void,Home Share Unit,False,5,10,1.0,0.0,109.36939855643182,0.7038329084307389,50.0,210.40586280138945,1.353779806265342,6.437751649736401,"603 Massachusetts Av, Roxbury",7,4.0,0,Mixed use (Residential and Commercial)
STR-414689,2.0,16297.0,488.0,4.0,188.0,8.0,200.0,6,POINT (42.305755 -71.116165),60.0,414689,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,43.90156001280101,-0.1955274616949767,60.0,43.9015746762032,0.0,4.394449154672439,"90 86 South St, Jamaica Plain",80,2.0,0,Mixed use (Residential and Commercial)
STR-414388,9.0,169220.0,6.0,1.0,49.0,0.0,50.0,18,POINT (42.33913888888888 -71.07728),59.0,414388,True,True,Void,STRLH,False,5,10,1.0,1.0,318.110556410292,1.7655376145618007,39.0,492.75129427923855,2.202031937536936,9.210340371976184,"59 Worcester St, South End",12,3.5,1,Mixed use (Residential and Commercial)
STR-384737,2.0,23021.0,206.0,1.0,46.0,3.0,50.0,4,POINT (42.31798 -71.057665),59.0,384737,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,115.6945216181935,0.7595595940448714,50.0,115.69458805842163,0.7595601633964417,4.394449154672439,"959 A951 Dorchester Av, Dorchester",3,1.0,0,Commercial
STR-409453,2.0,63026.0,537.0,1.0,394.0,5.0,400.0,4,POINT (42.3174 -71.10826500000002),59.0,409453,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,35.51723164142649,-0.4022157510504778,62.0,35.517238813363214,0.0,4.394449154672439,"66 -66a Boylston St, Jamaica Plain",1,,0,Commercial condominium
STR-415973,5.0,164430.0,102.0,7.0,33.0,10.0,50.0,10,POINT (42.321162 -71.06195),59.0,415973,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,269.49107368996584,1.600239098444324,41.0,416.03261346177476,2.0331644284810464,7.16703787691222,"1291 Massachusetts Av, Dorchester",4,3.0,0,Mixed use (Residential and Commercial)
STR-398748,3.0,128978.0,95.0,4.0,46.0,0.0,50.0,3,POINT (42.34451 -71.08131333333333),58.0,398748,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,270.36707649287,1.6034724301411325,41.0,378.90152855021654,1.9399120837448862,5.545177444479562,"116 St Botolph St, Back Bay",3,3.0,0,Mixed use (Residential and Commercial)
STR-383502,5.0,171430.0,104.0,12.0,30.0,8.0,50.0,10,POINT (42.330126 -71.09351399999998),58.0,383502,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,262.37656746820704,1.5735848235758683,41.0,503.7017135894367,2.22396758860385,7.16703787691222,"257 Roxbury St, Roxbury",1,,0,Commercial condominium
STR-387420,6.0,36580.0,145.0,6.0,44.0,0.0,50.0,33,POINT (42.28994166666667 -71.0624366666667),57.0,387420,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,1.0,23.56012703819602,-0.7988757241694513,66.0,70.68035626148185,0.27221673882008623,7.783640596221253,"1750 1758 Dorchester Av, Dorchester",13,3.0,0,Mixed use (Residential and Commercial)
STR-402007,2.0,84337.0,146.0,7.0,43.0,0.0,50.0,2,POINT (42.279585 -71.15990499999999),56.0,402007,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,134.60648735913117,0.9097572162434071,48.0,134.60662751737044,0.9097582498087595,4.394449154672439,"2075 Centre St, West Roxbury",2,1.0,0,Commercial
