CT_name10,AIR_count_listings,AIR_sum_has_license,AIR_sum_accommodates,AIR_calc_percent_licensed,AIR_calc_reviews_per_listing,AIR_count_hosts,AIR_median_host_distance_km,AIR_median_price,AIR_avg_price,AIR_avg_availability_30,STR_APP_Status_Active,STR_APP_Status_Expired,STR_APP_Status_Inactive,STR_APP_Status_Revoked,STR_APP_Status_Void,STR_PSD_open violation count,STR_PSD_violations in the last 6 months,BARI_count_parcels,BARI_count_units,BARI_avg_unit_living_area,BARI_avg_building_age,BARI_owner_occupancy_rate,BARI_agricult/commercial/industrial,BARI_condo/complex/residential/RCmixed,BARI_taxexempt/taxexemptBRA,PAD_avg_price,PAD_avg_beds
1002.0,1.0,1.0,2.0,1.0,8.0,1.0,8.94,60.0,60.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,621,2225,646.0,55.52,0.45,0.02,0.88,0.1,2000.0,3.0
1003.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,810,2508,772.0,58.49,0.53,0.02,0.91,0.06,2350.0,2.67
1004.0,18.0,17.0,52.0,0.94,59.94,7.0,9.04,55.0,69.33,15.94,8.0,0.0,6.0,0.0,3.0,2.0,0.0,990,2174,1241.0,63.85,0.64,0.02,0.97,0.02,2595.43,2.57
1005.0,11.0,11.0,31.0,1.0,73.09,5.0,7.93,75.0,106.64,13.45,7.0,0.0,6.0,0.0,1.0,7.0,0.0,1350,4204,838.0,58.5,0.45,0.04,0.91,0.06,2545.33,2.53
1006.01,12.0,11.0,50.0,0.92,119.5,6.0,7.8,87.0,107.08,20.42,5.0,0.0,5.0,0.0,0.0,3.0,0.0,1446,2550,1103.0,52.95,0.58,0.02,0.98,0.01,2533.33,2.67
1006.03,2.0,2.0,4.0,1.0,24.0,1.0,7.72,112.5,112.5,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,871,2604,799.0,42.48,0.48,0.1,0.83,0.07,2542.62,1.76
1007.0,5.0,5.0,10.0,1.0,47.2,3.0,2183.89,39.0,60.2,13.8,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1499,3454,916.0,54.79,0.62,0.05,0.91,0.03,2116.67,2.0
1008.0,10.0,9.0,25.0,0.9,81.1,5.0,2183.72,45.5,52.8,18.1,6.0,0.0,6.0,0.0,1.0,1.0,1.0,1658,4004,895.0,52.82,0.64,0.02,0.95,0.03,2258.64,1.36
1009.0,13.0,13.0,45.0,1.0,44.77,6.0,9.58,70.0,71.54,24.23,8.0,0.0,4.0,0.0,2.0,0.0,0.0,1273,2458,1026.0,51.67,0.65,0.03,0.94,0.03,2566.11,1.67
1010.01,5.0,5.0,9.0,1.0,49.8,3.0,9.54,48.0,44.6,15.2,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1591,7813,379.0,60.32,0.53,0.03,0.85,0.12,2200.0,1.5
1010.02,7.0,7.0,16.0,1.0,61.0,3.0,28.26,80.0,69.71,0.71,1.0,0.0,2.0,0.0,1.0,0.0,0.0,918,2806,866.0,56.63,0.62,0.03,0.92,0.04,3000.0,3.0
1011.01,6.0,6.0,30.0,1.0,107.0,3.0,9.33,73.0,84.33,7.67,2.0,0.0,4.0,0.0,3.0,0.0,0.0,605,1466,1250.0,67.1,0.55,0.02,0.96,0.02,2275.0,2.5
1011.02,6.0,6.0,24.0,1.0,45.17,4.0,9.69,53.0,85.0,21.0,1.0,0.0,1.0,0.0,2.0,39.0,0.0,761,2576,1016.0,62.27,0.44,0.04,0.9,0.05,2475.0,3.14
1101.03,19.0,15.0,81.0,0.79,122.26,13.0,8.24,112.0,136.53,8.47,13.0,0.0,4.0,0.0,3.0,0.0,2.0,1549,3764,790.0,47.65,0.49,0.06,0.91,0.04,3119.5,3.06
1102.01,6.0,3.0,19.0,0.5,28.5,3.0,9.87,74.0,108.0,14.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,461,1212,762.0,53.59,0.56,0.04,0.92,0.03,3603.5,2.5
1103.01,2.0,2.0,8.0,1.0,17.0,2.0,1096.55,174.0,174.0,13.5,4.0,0.0,3.0,0.0,1.0,0.0,0.0,916,1676,950.0,47.92,0.64,0.04,0.93,0.03,2911.25,3.0
1104.01,3.0,3.0,8.0,1.0,72.33,3.0,9.88,69.0,114.67,16.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,997,2101,864.0,52.61,0.61,0.02,0.95,0.03,2440.0,2.8
1104.03,7.0,6.0,22.0,0.86,58.71,7.0,10.86,75.0,99.71,12.86,6.0,0.0,2.0,0.0,3.0,7.0,0.0,1418,2564,963.0,56.61,0.72,0.0,0.97,0.02,3274.75,2.5
1105.01,2.0,2.0,6.0,1.0,55.0,2.0,11.2,87.5,87.5,5.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1103,1535,1281.0,54.74,0.71,0.01,0.99,0.0,2850.0,3.25
1105.02,15.0,11.0,38.0,0.73,36.6,9.0,10.54,65.0,89.8,15.07,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1301,2334,1090.0,53.03,0.59,0.06,0.93,0.01,2480.0,1.56
1106.01,4.0,4.0,27.0,1.0,55.0,3.0,10.28,184.5,341.0,11.75,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1061,1835,1128.0,47.61,0.81,0.0,0.98,0.02,2491.67,1.67
1106.07,11.0,11.0,42.0,1.0,77.82,9.0,9.95,125.0,131.82,10.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,1899,3658,966.0,51.06,0.63,0.03,0.95,0.03,2140.0,2.4
1201.03,16.0,15.0,63.0,0.94,55.38,14.0,7.33,194.0,201.19,14.81,10.0,0.0,5.0,0.0,0.0,1.0,0.0,681,974,1496.0,37.0,0.65,0.04,0.95,0.01,4700.0,4.62
1201.04,11.0,11.0,42.0,1.0,132.36,8.0,7.68,125.0,145.0,15.09,9.0,0.0,6.0,0.0,3.0,0.0,2.0,850,1345,840.0,35.97,0.52,0.0,0.98,0.02,2594.74,2.21
1201.05,8.0,8.0,37.0,1.0,21.62,7.0,7.93,157.5,176.12,18.5,7.0,0.0,3.0,0.0,2.0,0.0,0.0,1017,1466,1820.0,40.3,0.75,0.01,0.96,0.03,4249.5,3.0
1202.01,16.0,12.0,71.0,0.75,50.5,15.0,7.33,147.5,193.12,10.12,8.0,0.0,4.0,0.0,3.0,0.0,0.0,1164,3057,938.0,39.69,0.49,0.06,0.9,0.04,2877.64,2.1
1203.01,24.0,19.0,83.0,0.79,68.21,17.0,6.4,100.0,161.62,16.17,17.0,0.0,9.0,0.0,5.0,4.0,0.0,1503,5771,542.0,42.2,0.5,0.03,0.92,0.05,3326.66,2.5
1204.0,35.0,31.0,117.0,0.89,84.34,32.0,6.76,120.0,157.06,12.74,32.0,1.0,16.0,0.0,5.0,3.0,0.0,2303,5430,821.0,35.29,0.56,0.02,0.94,0.04,3371.33,2.97
1205.0,6.0,5.0,21.0,0.83,86.17,5.0,5.83,155.0,170.5,8.33,6.0,0.0,9.0,0.0,1.0,2.0,0.0,631,1452,821.0,37.07,0.44,0.03,0.94,0.03,3297.71,3.06
1206.0,14.0,11.0,31.0,0.79,154.79,10.0,6.27,95.0,109.43,9.79,13.0,0.0,11.0,0.0,2.0,0.0,1.0,828,1778,838.0,41.25,0.54,0.02,0.96,0.02,3814.12,2.8
1207.0,4.0,1.0,9.0,0.25,10.25,2.0,2179.8,55.0,86.25,22.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,537,1802,901.0,38.08,0.47,0.01,0.94,0.05,3183.89,2.51
1301.0,5.0,3.0,14.0,0.6,35.4,5.0,2175.49,90.0,87.8,7.4,3.0,1.0,6.0,0.0,0.0,0.0,0.0,2747,5269,782.0,48.79,0.67,0.01,0.96,0.03,2693.93,1.63
1302.0,4.0,4.0,18.0,1.0,111.5,4.0,11.25,157.5,165.0,7.75,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1741,2584,1444.0,56.56,0.72,0.04,0.95,0.01,2861.36,2.55
1303.0,9.0,9.0,23.0,1.0,79.89,5.0,12.11,54.0,108.56,8.44,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1731,2464,1400.0,53.32,0.74,0.02,0.96,0.02,2949.17,3.17
1304.02,5.0,2.0,19.0,0.4,70.8,3.0,13.05,80.0,99.0,10.2,6.0,0.0,0.0,0.0,2.0,0.0,2.0,1985,3095,1270.0,48.75,0.63,0.06,0.92,0.02,2585.0,2.0
1304.04,4.0,4.0,10.0,1.0,105.75,3.0,12.68,44.0,62.75,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1634,9790,181.0,44.92,0.42,0.02,0.81,0.17,2524.86,2.43
1304.06,3.0,3.0,7.0,1.0,12.0,1.0,14.12,60.0,56.67,28.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,832,3285,520.0,44.14,0.61,0.02,0.92,0.06,2236.25,1.67
1401.02,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1720,4053,838.0,46.88,0.6,0.05,0.91,0.04,,
1401.05,3.0,3.0,8.0,1.0,60.33,3.0,11.94,79.0,70.0,16.33,4.0,0.0,10.0,0.0,1.0,1.0,0.0,1173,2925,610.0,57.43,0.71,0.04,0.92,0.04,,
1401.06,6.0,5.0,15.0,0.83,30.67,2.0,11.24,47.5,66.0,23.83,1.0,0.0,6.0,0.0,1.0,0.0,0.0,107,748,1207.0,55.54,0.56,0.06,0.86,0.08,2400.0,2.0
1401.07,1.0,1.0,2.0,1.0,30.0,1.0,13.09,55.0,55.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,792,2143,650.0,61.64,0.66,0.01,0.93,0.06,,
1402.01,1.0,1.0,3.0,1.0,8.0,1.0,14.89,42.0,42.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,580,1931,968.0,59.0,0.55,0.12,0.82,0.06,,
1402.02,6.0,5.0,11.0,0.83,54.0,3.0,13.84,53.5,60.33,15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1510,2689,1065.0,59.64,0.75,0.0,0.97,0.02,,
1403.0,4.0,2.0,18.0,0.5,38.75,4.0,1071.7,145.0,151.0,0.5,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1588,4722,968.0,57.82,0.57,0.08,0.86,0.06,2159.0,2.4
1404.0,5.0,5.0,13.0,1.0,56.4,4.0,26.04,69.0,90.0,18.2,5.0,0.0,2.0,0.0,3.0,5.0,0.0,2402,4676,808.0,57.71,0.64,0.02,0.95,0.02,2234.38,2.12
9801.01,,,,,,,,,,,,,,,,,,27,777,51.0,86.5,0.0,0.0,0.04,0.96,,
9803.0,,,,,,,,,,,,,,,,,,6,46,2374.0,118.0,0.0,0.17,0.0,0.83,2905.0,3.11
9807.0,,,,,,,,,,,,,,,,,,28,706,53.0,109.0,0.0,0.0,0.04,0.96,,
9810.0,,,,,,,,,,,,,,,,,,13,278,96.0,93.0,0.0,0.0,0.08,0.92,2450.0,2.0
9811.0,,,,,,,,,,,,,,,,,,71,979,379.0,31.61,0.24,0.0,0.35,0.65,,
9812.01,,,,,,,,,,,,,,,,,,19,209,397.0,92.86,0.0,0.26,0.0,0.74,2870.0,1.0
9812.02,2.0,2.0,5.0,1.0,57.0,2.0,1094.32,207.0,207.0,9.0,,,,,,,,102,1575,3396.0,37.62,0.0,0.43,0.01,0.56,,
9813.0,4.0,4.0,11.0,1.0,11.0,3.0,2.42,117.0,126.0,12.75,,,,,,,,332,2332,115.0,15.78,0.46,0.0,0.77,0.23,3054.38,1.62
9815.01,6.0,1.0,19.0,0.17,10.17,5.0,2.57,279.0,482.83,16.33,,,,,,,,12,130,545.0,37.8,0.0,0.0,0.0,1.0,3870.0,1.29
9815.02,,,,,,,,,,,,,,,,,,3,13,30174.0,23.5,0.0,1.0,0.0,0.0,,
9816.0,,,,,,,,,,,,,,,,,,9,102,458.0,13.25,0.0,0.56,0.0,0.44,,
9817.0,,,,,,,,,,,,,,,,,,7,7,50000.0,67.0,0.0,0.43,0.0,0.57,3100.0,2.0
9818.0,22.0,10.0,90.0,0.45,9.18,7.0,2179.69,208.5,252.82,13.23,,,,,,,,11,126,126.0,53.5,0.0,0.0,0.0,1.0,4181.86,1.7
9901.01,,,,,,,,,,,,,,,,,,2,30,0.0,,0.0,0.0,0.0,1.0,,
